date,Company Name,Symbol,author,Sector,expected_return,actual_return,year
2020-02-13,aarti industries limited,AARTIIND,Prabhudas Lilladhar,Healthcare,13.941548183254348,0.0650562947799385,2020
2020-05-26,aarti industries limited,AARTIIND,Prabhudas Lilladhar,Healthcare,0.5575266092245312,-0.0426368785399622,2020
2020-08-13,aarti industries limited,AARTIIND,Prabhudas Lilladhar,Healthcare,-4.182651819968189,0.1258483033932134,2020
2021-08-09,aarti industries limited,AARTIIND,Prabhudas Lilladhar,Healthcare,6.659447753113157,-0.0160189075630252,2021
2022-06-03,aarti industries limited,AARTIIND,Prabhudas Lilladhar,Healthcare,23.249299719887954,-0.0106796116504854,2022
2022-11-16,aarti industries limited,AARTIIND,Prabhudas Lilladhar,Healthcare,18.21232458816351,-0.0148809523809523,2022
2023-02-07,aarti industries limited,AARTIIND,Prabhudas Lilladhar,Healthcare,23.37601645013552,-0.0037948907811922,2023
2023-05-10,aarti industries limited,AARTIIND,Prabhudas Lilladhar,Healthcare,8.42779694430754,-0.0092592592592593,2023
2024-02-11,aarti industries limited,AARTIIND,Prabhudas Lilladhar,Healthcare,-9.700761287404845,0.0208148148148147,2024
2020-02-13,aarti industries limited,AARTIIND,Reliance Securities,Healthcare,-2.8436018957345928,0.0650562947799385,2020
2020-03-18,aarti industries limited,AARTIIND,Reliance Securities,Healthcare,24.47817836812144,-0.0597333333333332,2020
2020-03-20,aarti industries limited,AARTIIND,Reliance Securities,Healthcare,28.125,0.0941428571428571,2020
2020-09-08,aarti industries limited,AARTIIND,Rudra Shares and Stock Brokers Ltd,Healthcare,12.009838702048157,0.0624098827013755,2020
2022-08-17,aarti industries limited,AARTIIND,SBI Securities,Healthcare,14.817776762252947,-0.0544667548394854,2022
2023-08-10,aarti industries limited,AARTIIND,Sharekhan,Healthcare,7.781849536538052,-0.028114186851211,2023
2020-11-13,aarti industries limited,AARTIIND,Way2Wealth,Healthcare,34.733856313433485,0.0169369369369368,2020
2023-08-30,aavas financiers limited,AAVAS,Bonanza,Finance,32.333480370533735,0.0153673863000062,2023
2022-10-25,aavas financiers limited,AAVAS,ICICI Securities Limited,Finance,41.47542206419851,-0.0091970286522815,2022
2023-02-06,aavas financiers limited,AAVAS,ICICI Securities Limited,Finance,42.346083606434334,0.0126381909547739,2023
2023-05-05,aavas financiers limited,AAVAS,ICICI Securities Limited,Finance,-1.9607843137254928,0.0057123193392979,2023
2023-05-26,aavas financiers limited,AAVAS,ICICI Securities Limited,Finance,0.4452359750667853,0.0029497463937551,2023
2023-08-07,aavas financiers limited,AAVAS,ICICI Securities Limited,Finance,15.403109472671902,0.0099369085173501,2023
2023-10-28,aavas financiers limited,AAVAS,ICICI Securities Limited,Finance,16.32791546838143,-0.0624417221311211,2023
2024-04-26,aavas financiers limited,AAVAS,ICICI Securities Limited,Finance,18.008757492003358,-0.0372626850056924,2024
2024-07-26,aavas financiers limited,AAVAS,ICICI Securities Limited,Finance,17.347376856807575,-0.0324797881630469,2024
2024-04-01,aavas financiers limited,AAVAS,IDBI Capital,Finance,28.30002467308167,0.1370231810076571,2024
2024-04-26,aavas financiers limited,AAVAS,IDBI Capital,Finance,16.76656004471911,-0.0372626850056924,2024
2021-11-29,aavas financiers limited,AAVAS,Monarch Networth Capital Limited,Finance,-15.013144153552528,-0.0470461095100864,2021
