### iter_0_a_-1.0_b_-1.0 ###
                  Sector                              author  mean_performance  count      month
275        Manufacturing                     Phillip Capital         -0.006800     14 2015-11-01
276        Manufacturing                 Reliance Securities         -0.004239     10 2015-11-01
277          Real Estate                 Chola Wealth Direct          0.010452      1 2015-11-01
278          Real Estate                               Karvy         -0.042487      1 2015-11-01
279           Technology                     Ashika Research         -0.009204      1 2015-11-01
280           Technology            BOB Capital Markets Ltd.         -0.004435      2 2015-11-01
281           Technology                 Chola Wealth Direct          0.013427      4 2015-11-01
282           Technology                     HDFC Securities          0.010355      4 2015-11-01
283           Technology                               Karvy          0.009495      4 2015-11-01
284           Technology                     Phillip Capital          0.013304      9 2015-11-01
285           Technology                 Reliance Securities          0.025099      2 2015-11-01
286              Unknown                 Chola Wealth Direct         -0.050039      1 2015-11-01
287              Unknown                     Phillip Capital          0.037118      2 2015-11-01
288       Consumer Goods                       Angel Broking         -0.011026      1 2015-12-01
289       Consumer Goods            BOB Capital Markets Ltd.          0.023837      1 2015-12-01
290       Consumer Goods                               Karvy          0.015997      1 2015-12-01
291       Consumer Goods                     Phillip Capital          0.004579      3 2015-12-01
292               Energy                               Karvy         -0.027390      1 2015-12-01
293              Finance                     HDFC Securities         -0.015883      1 2015-12-01
294              Finance            ICICI Securities Limited         -0.007198      1 2015-12-01
295              Finance                               Karvy          0.000368      8 2015-12-01
296              Finance                     Phillip Capital          0.024556      1 2015-12-01
297              Finance                 Reliance Securities         -0.029635      1 2015-12-01
298           Healthcare                     HDFC Securities         -0.002375      1 2015-12-01
299           Healthcare            ICICI Securities Limited         -0.000751      2 2015-12-01
300           Healthcare                               Karvy          0.009907      2 2015-12-01
301           Healthcare                     Phillip Capital          0.013897      4 2015-12-01
302        Manufacturing                       Angel Broking         -0.006707      1 2015-12-01
303        Manufacturing            BOB Capital Markets Ltd.         -0.004663      2 2015-12-01
304        Manufacturing                               Karvy         -0.017726      4 2015-12-01
305        Manufacturing                     Phillip Capital          0.000227      2 2015-12-01
306           Technology                       Angel Broking          0.023549      1 2015-12-01
307           Technology                     HDFC Securities         -0.008629      2 2015-12-01
308           Technology            ICICI Securities Limited         -0.002971      1 2015-12-01
309           Technology                     Phillip Capital         -0.007367      1 2015-12-01
310              Unknown                               Karvy         -0.007698      3 2015-12-01
311              Unknown                     Phillip Capital          0.003199      2 2015-12-01
312       Consumer Goods            BOB Capital Markets Ltd.          0.028356      1 2016-01-01
313       Consumer Goods                 Chola Wealth Direct          0.021012      2 2016-01-01
314       Consumer Goods                     HDFC Securities          0.029919      2 2016-01-01
315       Consumer Goods            ICICI Securities Limited         -0.001905      2 2016-01-01
316       Consumer Goods                               Karvy         -0.014528      1 2016-01-01
317       Consumer Goods                     Phillip Capital          0.008743      3 2016-01-01
318       Consumer Goods                 Reliance Securities          0.015209      1 2016-01-01
319               Energy                 Chola Wealth Direct          0.021117      1 2016-01-01
320               Energy                     HDFC Securities          0.003171      2 2016-01-01
321               Energy            ICICI Securities Limited         -0.004452      4 2016-01-01
322               Energy                               Karvy          0.003782      1 2016-01-01
323               Energy                     Phillip Capital         -0.007848      5 2016-01-01
324               Energy                 Reliance Securities          0.002146      4 2016-01-01
325              Finance                       Angel Broking         -0.005497      6 2016-01-01
326              Finance                 Chola Wealth Direct         -0.006722      9 2016-01-01
327              Finance                     HDFC Securities         -0.005939      9 2016-01-01
328              Finance            ICICI Securities Limited         -0.007762     12 2016-01-01
329              Finance                               Karvy         -0.005768      6 2016-01-01
330              Finance                     Phillip Capital         -0.011878     13 2016-01-01
331              Finance                 Reliance Securities         -0.000025     11 2016-01-01
332           Healthcare                     Ashika Research         -0.007360      1 2016-01-01
333           Healthcare                 Chola Wealth Direct          0.014524      1 2016-01-01
334           Healthcare                     HDFC Securities          0.011629      2 2016-01-01
335           Healthcare            ICICI Securities Limited         -0.013812      4 2016-01-01
336           Healthcare                               Karvy         -0.009813      3 2016-01-01
337           Healthcare                     Phillip Capital         -0.004255      5 2016-01-01
338           Healthcare                 Reliance Securities          0.014524      1 2016-01-01
339        Manufacturing                        Ajcon Global          0.008213      1 2016-01-01
340        Manufacturing                       Angel Broking          0.007391      2 2016-01-01
341        Manufacturing                     Ashika Research          0.003871      1 2016-01-01
342        Manufacturing                 Chola Wealth Direct          0.004743      3 2016-01-01
343        Manufacturing                     HDFC Securities          0.003346      4 2016-01-01
344        Manufacturing            ICICI Securities Limited         -0.004486      7 2016-01-01
345        Manufacturing                               Karvy         -0.003378      8 2016-01-01
346        Manufacturing                     Phillip Capital          0.020452      4 2016-01-01
347        Manufacturing                 Reliance Securities          0.012538      3 2016-01-01
348           Technology                     Ashika Research          0.003414      1 2016-01-01
349           Technology                 Chola Wealth Direct         -0.007488      1 2016-01-01
350           Technology                     HDFC Securities          0.012268      4 2016-01-01
351           Technology            ICICI Securities Limited          0.008921      7 2016-01-01
352           Technology                               Karvy         -0.007522      3 2016-01-01
353           Technology                     Phillip Capital          0.004028     11 2016-01-01
354           Technology                 Reliance Securities          0.009382      1 2016-01-01
355   Telecommunications            ICICI Securities Limited         -0.000887      1 2016-01-01
